ema_period,atr_period,multiplier,atr_threshold_pct,rr,win_rate,# Trades
18,5,10.874830999937561,0.0036121438880553905,2,33.911368015414254,0
100,12,1.7574354139989206,0.005859414152141354,2,-0.0,519
123,9,4.7490566886299455,0.0021146930299538527,2,33.83594692400482,1658
164,12,1.0,0.007590561677363709,2,34.031413612565444,191
187,5,7.4666067276914045,0.009599455340946061,2,-0.0,31
