open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1654041600000,31797.90,31880.00,31704.00,31755.10,3115.705,1654042499999,99024370.19580,29916,1328.900,42250723.60180,0
1654042500000,31755.00,31868.60,31680.00,31812.80,4443.544,1654043399999,141248155.61630,39724,2418.946,76901067.91190,0
1654043400000,31812.80,31986.10,31781.80,31936.50,3914.311,1654044299999,124843718.29619,37277,2187.604,69791378.11959,0
1654044300000,31936.60,31970.00,31876.50,31925.50,2115.328,1654045199999,67524057.00880,25545,959.438,30629657.41560,0
1654045200000,31925.50,31938.60,31868.00,31904.40,1443.033,1654046099999,46018785.17410,17946,658.890,21012698.50440,0
1654046100000,31904.40,31924.60,31833.00,31895.40,1629.254,1654046999999,51941532.50920,18068,799.518,25493370.12580,0
1654047000000,31895.40,31923.00,31830.80,31835.40,1391.912,1654047899999,44370299.38430,16449,561.065,17884758.21290,0
1654047900000,31835.40,31915.00,31825.70,31914.90,1357.741,1654048799999,43269134.80090,16742,696.193,22189824.31740,0
1654048800000,31914.90,31915.00,31861.60,31874.70,1122.801,1654049699999,35803459.77050,14970,430.940,13741709.10190,0
1654049700000,31874.60,31878.60,31743.60,31772.00,2989.117,1654050599999,95024098.30486,30262,1373.504,43663570.47150,0
1654050600000,31772.00,31837.30,31762.10,31819.10,1348.477,1654051499999,42880654.74120,17005,765.355,24339344.45260,0
1654051500000,31819.00,31828.00,31710.00,31794.10,3637.416,1654052399999,115556442.74550,27228,1331.812,42320834.96460,0
1654052400000,31794.20,31799.70,31715.90,31718.90,1369.381,1654053299999,43477709.52160,18571,525.753,16695114.71870,0
1654053300000,31719.00,31752.40,31668.40,31715.10,2400.576,1654054199999,76129432.99080,24354,937.778,29743718.03720,0
1654054200000,31715.10,31715.20,31620.60,31643.20,3310.155,1654055099999,104808947.68809,24909,1442.422,45670973.19610,0
1654055100000,31643.30,31663.60,31610.10,31624.00,1737.901,1654055999999,54978135.38662,23010,874.208,27657292.22670,0
1654056000000,31624.00,31666.00,31358.00,31473.20,9086.521,1654056899999,286102089.56467,73966,3655.684,115081316.86630,0
1654056900000,31473.10,31558.20,31469.70,31488.80,5051.627,1654057799999,159202045.35594,38140,2885.421,90935244.16294,0
1654057800000,31488.80,31589.70,31486.60,31547.70,2333.326,1654058699999,73614885.17118,25248,1436.955,45329946.48838,0
1654058700000,31547.60,31610.00,31544.70,31556.40,1888.712,1654059599999,59638580.77510,21297,989.335,31240500.93740,0
1654059600000,31556.50,31604.10,31520.10,31574.90,1445.222,1654060499999,45620440.57530,18980,766.970,24212848.88410,0
1654060500000,31574.90,31586.90,31499.10,31537.90,1406.689,1654061399999,44360251.71120,18701,649.873,20495093.09640,0
1654061400000,31537.80,31624.90,31435.00,31575.90,3347.440,1654062299999,105471698.48572,33270,1794.417,56552218.20632,0
1654062300000,31576.00,31621.70,31565.80,31612.90,1912.925,1654063199999,60436226.14210,23283,1079.484,34105553.76610,0
1654063200000,31612.80,31664.80,31587.10,31613.90,2272.816,1654064099999,71884593.73499,24865,1197.678,37882779.19219,0
1654064100000,31614.00,31649.80,31575.00,31642.70,1484.916,1654064999999,46944265.11920,18781,714.688,22595970.07320,0
1654065000000,31642.80,31653.20,31553.60,31588.10,2269.150,1654065899999,71682563.96210,19399,1047.291,33080386.24880,0
1654065900000,31588.00,31591.50,31553.90,31575.80,1103.848,1654066799999,34849687.95970,13127,525.039,16575731.93560,0
1654066800000,31575.80,31633.30,31517.20,31571.60,3326.781,1654067699999,105007590.59127,27604,1664.239,52544501.91060,0
1654067700000,31571.60,31584.70,31501.60,31544.30,1711.879,1654068599999,53981894.81750,20813,703.563,22186024.80550,0
1654068600000,31544.40,31615.00,31461.00,31484.40,3262.152,1654069499999,102874819.54477,27646,1386.341,43739502.71070,0
1654069500000,31484.50,31542.00,31463.70,31479.60,1759.501,1654070399999,55406215.62800,23544,922.576,29053997.49520,0
1654070400000,31479.60,31530.20,31436.00,31508.50,2944.182,1654071299999,92698544.60100,30201,1556.684,49020352.79010,0
1654071300000,31508.20,31569.00,31507.80,31564.20,2085.577,1654072199999,65797942.33910,22197,1244.598,39264657.49940,0
1654072200000,31564.20,31634.60,31550.00,31585.80,3009.966,1654073099999,95107667.62370,27853,1678.308,53030462.94320,0
1654073100000,31585.70,31625.00,31570.00,31605.60,1462.884,1654073999999,46228662.71130,18003,717.105,22662609.14330,0
1654074000000,31605.70,31629.60,31600.00,31610.90,1723.120,1654074899999,54475086.01080,17009,702.605,22211883.48740,0
1654074900000,31611.10,31695.30,31595.80,31678.40,2842.286,1654075799999,89969072.92215,28666,1714.649,54280685.49085,0
1654075800000,31678.50,31700.00,31651.30,31674.30,1671.885,1654076699999,52953487.13210,21210,815.192,25820401.58180,0
1654076700000,31674.30,31681.00,31651.80,31680.10,1213.012,1654077599999,38410837.60760,15959,535.014,16942249.95720,0
1654077600000,31680.10,31698.10,31575.50,31613.70,4739.008,1654078499999,149864631.98690,30944,1942.804,61433197.57390,0
1654078500000,31613.60,31622.80,31560.00,31577.90,1557.611,1654079399999,49201892.28670,18198,633.670,20017379.52240,0
1654079400000,31577.90,31596.00,31519.00,31550.00,2347.497,1654080299999,74071120.67447,19952,907.271,28630480.19300,0
1654080300000,31550.00,31550.00,31526.80,31538.60,1497.686,1654081199999,47242610.78390,15311,834.533,26325490.16910,0
1654081200000,31538.50,31650.00,31522.10,31642.00,3050.372,1654082099999,96368403.32652,24194,1887.255,59621252.66022,0
1654082100000,31642.10,31653.00,31427.50,31503.60,5730.449,1654082999999,180619408.33344,49864,2307.423,72723907.54270,0
1654083000000,31503.80,31580.00,31443.10,31457.40,3274.696,1654083899999,103165213.03430,34889,1607.289,50640324.19160,0
1654083900000,31457.50,31618.00,31434.60,31596.00,5326.982,1654084799999,167994514.70350,40847,3183.925,100413107.91330,0
1654084800000,31596.00,31640.40,31533.00,31550.20,3467.935,1654085699999,109544029.90830,28859,1690.034,53388136.24060,0
1654085700000,31550.20,31650.00,31515.40,31649.90,2789.044,1654086599999,88095709.98965,25967,1712.347,54093951.12865,0
1654086600000,31650.00,31826.70,31587.10,31766.80,7129.621,1654087499999,226160075.92970,62097,4058.681,128755935.44720,0
1654087500000,31766.90,31824.80,31681.80,31709.20,4448.399,1654088399999,141224601.60880,43814,1975.688,62722860.86860,0
1654088400000,31709.20,31825.00,31659.10,31813.40,3893.668,1654089299999,123583790.58870,39343,2041.824,64834582.76060,0
1654089300000,31813.40,31868.50,31745.60,31821.20,4401.757,1654090199999,140050346.62286,46030,2399.920,76371518.36386,0
1654090200000,31821.20,31888.00,31692.10,31734.50,8902.893,1654091099999,283029300.35000,70794,3925.120,124813698.32100,0
1654091100000,31734.50,31742.10,31634.40,31719.40,5590.832,1654091999999,177169818.57689,49108,2753.989,87271797.44180,0
1654092000000,31719.50,31802.80,31526.80,31526.90,9861.710,1654092899999,312132516.68612,77233,4358.398,137987919.82396,0
1654092900000,31526.80,31531.20,31319.30,31346.00,12220.253,1654093799999,384184628.63553,103064,5297.513,166590647.09870,0
1654093800000,31346.10,31404.00,30920.00,31158.40,23434.196,1654094699999,730096861.09921,169766,10356.656,322685619.88233,0
1654094700000,31158.40,31320.00,30993.30,31160.50,12119.884,1654095599999,377821680.61695,101891,6392.940,199339165.61694,0
1654095600000,31160.40,31220.00,31047.90,31181.00,8175.335,1654096499999,254574082.49803,76657,4237.411,131972740.70829,0
1654096500000,31181.00,31181.10,30732.00,30913.00,20250.880,1654097399999,626087748.06869,145042,8617.948,266477787.88201,0
1654097400000,30913.10,30950.20,30750.00,30785.50,11297.845,1654098299999,348369263.49842,102775,5348.715,164964665.43140,0
1654098300000,30785.50,30875.90,30710.10,30733.70,8462.821,1654099199999,260619168.51178,75462,3836.456,118168816.79830,0
1654099200000,30733.60,30745.00,30560.00,30643.60,16756.718,1654100099999,513652031.17342,134981,8128.928,249219767.51980,0
1654100100000,30643.60,30670.00,30400.00,30404.10,16031.262,1654100999999,489412154.98127,134414,6947.581,212155838.47010,0
1654101000000,30404.10,30498.20,30355.00,30410.70,15501.738,1654101899999,471452858.55396,113908,7749.231,235699220.70880,0
1654101900000,30410.60,30450.00,30273.80,30409.70,10741.853,1654102799999,326262698.67351,80663,5221.241,158631409.84140,0
1654102800000,30409.60,30422.60,30052.00,30258.60,18595.406,1654103699999,562265426.49491,125723,8107.709,245219789.42386,0
1654103700000,30258.70,30284.70,29874.40,30044.60,22655.571,1654104599999,680553889.89077,182340,10475.819,314660538.57230,0
1654104600000,30045.30,30238.00,29959.90,30129.80,12643.272,1654105499999,380585306.12534,95739,6788.564,204380385.95854,0
1654105500000,30129.80,30215.60,30040.50,30163.20,9841.931,1654106399999,296549560.57060,67666,4934.376,148693821.60800,0
1654106400000,30163.30,30238.00,30114.10,30186.90,7547.238,1654107299999,227823346.87884,55569,3590.670,108397618.11444,0
1654107300000,30186.90,30410.00,30110.00,30321.60,11653.593,1654108199999,352979255.89757,76885,6955.619,210737746.18477,0
1654108200000,30321.60,30440.00,30201.60,30414.30,9108.829,1654109099999,276482609.23014,66230,4696.918,142598685.78048,0
1654109100000,30414.20,30420.00,30108.60,30165.40,7458.976,1654109999999,225674260.42862,58189,2727.343,82528978.24640,0
1654110000000,30165.30,30226.90,30000.00,30202.10,8622.285,1654110899999,259635670.55760,66069,4251.878,128068870.41920,0
1654110900000,30202.10,30300.00,30118.40,30160.90,4790.653,1654111799999,144768270.62865,41637,2356.196,71220991.28695,0
1654111800000,30161.00,30339.20,30136.90,30293.80,4031.519,1654112699999,121850240.32670,35321,2374.520,71787708.26860,0
1654112700000,30297.40,30302.30,30079.10,30116.50,5761.029,1654113599999,173939172.35150,45580,2174.324,65646201.92110,0
1654113600000,30116.50,30151.20,29956.10,30022.40,9818.036,1654114499999,294871749.02856,62980,4793.407,143958965.55870,0
1654114500000,30022.50,30053.60,29460.00,29603.70,18277.190,1654115399999,544339006.36210,117741,6792.966,202560626.33689,0
1654115400000,29603.70,29619.40,29300.00,29505.00,17480.759,1654116299999,515349191.27389,117821,8616.448,254064591.08881,0
1654116300000,29505.00,29726.70,29483.20,29623.60,9979.796,1654117199999,295662244.96597,74108,5093.331,150863875.66442,0
1654117200000,29623.50,29759.90,29577.40,29721.30,6827.504,1654118099999,202742570.84410,53014,3638.382,108046573.13003,0
1654118100000,29721.30,29731.10,29645.30,29693.00,2694.136,1654118999999,79992989.45742,27159,971.747,28853262.78540,0
1654119000000,29692.90,29710.00,29610.00,29703.70,2209.155,1654119899999,65514025.69010,27365,1052.614,31222470.68780,0
1654119900000,29703.70,29703.70,29562.30,29582.70,2976.668,1654120799999,88194607.84165,31758,1144.120,33909013.72800,0
1654120800000,29582.80,29611.30,29500.00,29530.20,4055.875,1654121699999,119824291.11791,39088,2107.349,62265321.54187,0
1654121700000,29530.20,29685.30,29510.50,29684.10,2873.387,1654122599999,85087438.89849,30661,1764.180,52246879.38949,0
1654122600000,29684.10,29735.50,29631.10,29709.00,2841.356,1654123499999,84326670.51463,28720,1397.853,41493105.61023,0
1654123500000,29709.00,29755.00,29693.40,29731.50,2595.944,1654124399999,77153833.78240,26648,1202.436,35740662.37590,0
1654124400000,29731.40,30072.50,29709.70,29894.00,11200.835,1654125299999,335203306.12554,75135,6380.178,190885527.65327,0
1654125300000,29894.10,29951.30,29785.10,29900.40,4971.204,1654126199999,148457918.59165,41969,2362.957,70585212.26807,0
1654126200000,29900.40,29914.70,29793.60,29808.90,2168.596,1654127099999,64734159.78136,24703,869.861,25969630.20200,0
1654127100000,29809.00,29853.60,29759.00,29796.90,2365.999,1654127999999,70501012.24880,25076,1239.575,36937070.61680,0
1654128000000,29796.90,29802.70,29674.10,29693.10,4517.629,1654128899999,134301628.71951,37752,2023.600,60157930.44200,0
1654128900000,29694.00,29757.80,29600.00,29757.70,4880.569,1654129799999,144827747.63730,38064,2137.690,63468209.79538,0
1654129800000,29757.80,29775.00,29566.10,29665.40,4031.417,1654130699999,119550194.91931,35985,1942.342,57610747.59112,0
1654130700000,29665.50,29818.30,29615.00,29671.20,4130.864,1654131599999,122769916.19560,33898,2486.038,73910740.34318,0
1654131600000,29671.30,29792.70,29629.60,29780.10,2492.192,1654132499999,74078442.41748,29514,1311.956,39003481.35568,0
1654132500000,29780.10,29809.60,29731.50,29756.20,1605.955,1654133399999,47809875.94170,21198,731.850,21789875.69650,0
1654133400000,29756.10,29878.80,29733.60,29817.60,2647.085,1654134299999,78922450.74128,25743,1460.974,43562292.59088,0
1654134300000,29817.40,29865.40,29790.70,29797.00,2055.903,1654135199999,61328153.97470,23317,965.569,28807884.79190,0
1654135200000,29796.90,29840.00,29761.50,29839.50,1586.227,1654136099999,47270420.56540,18943,742.228,22121407.94170,0
1654136100000,29839.60,29848.20,29802.90,29817.30,1335.639,1654136999999,39839917.30830,15402,598.753,17861002.63460,0
1654137000000,29817.40,29899.90,29763.70,29829.80,2494.778,1654137899999,74423861.46780,24955,1074.986,32076125.04590,0
1654137900000,29829.80,29849.20,29773.70,29809.90,1458.262,1654138799999,43457437.37310,17863,646.604,19269756.84280,0
1654138800000,29809.90,29843.90,29740.60,29761.30,2250.054,1654139699999,67028780.31908,22602,983.143,29295665.36720,0
1654139700000,29761.30,29828.30,29726.30,29774.80,1895.801,1654140599999,56461740.98590,22195,933.358,27800912.71900,0
1654140600000,29774.80,29797.10,29715.40,29760.00,1646.169,1654141499999,48981333.80250,21277,801.744,23858065.72700,0
1654141500000,29760.00,29769.00,29690.00,29718.40,2254.323,1654142399999,66992899.90215,24803,905.952,26923214.90050,0
1654142400000,29718.50,29763.10,29664.70,29672.00,2847.869,1654143299999,84613797.36132,27763,1352.542,40192261.23030,0
1654143300000,29672.00,29740.90,29633.20,29733.10,1754.929,1654144199999,52114563.58860,20567,866.365,25733452.46470,0
1654144200000,29733.10,29812.30,29733.00,29792.60,1716.750,1654145099999,51124358.85048,21432,993.532,29587266.19468,0
