Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,12)","Exit_EMA(C,12)","Entry_ATR(H,L,C,14)","Exit_ATR(H,L,C,14)"
0.09141586,32,32,109390.19999999998,109731.2457075306,109049.3542924694,109731.2457075306,31.176986653219384,0.0,0.0031176989120653698,2025-09-01 08:00:00,2025-09-01 08:00:00,0 days 00:00:00,,0.0010844133733022045,0.0010844133733022045,3.4549244270697984e-06,3.4549244270697984e-06
0.08903977,414,415,112659.5,112919.5477024645,112399.45229753549,112919.5477024645,23.154587616467513,0.0,0.0023082625296979575,2025-09-05 07:30:00,2025-09-05 07:45:00,0 days 00:15:00,,0.0011192890370559235,0.001120783185201166,2.5818715228846637e-06,2.589594985535749e-06
0.09041673,610,610,111199.9,111341.204562549,111058.595437451,111341.204562549,12.77629647976062,0.0,0.0012707256260930944,2025-09-07 08:30:00,2025-09-07 08:30:00,0 days 00:00:00,,0.0011077473678993727,0.0011077473678993727,1.4836137950977612e-06,1.4836137950977612e-06
-0.0880486,2020,2020,114335.80000000002,114543.45950379198,114543.45950379198,114128.34049620802,-18.284128585577704,0.0,-0.001816224697706037,2025-09-22 01:00:00,2025-09-22 01:00:00,0 days 00:00:00,,0.001149797806394536,0.001149797806394536,2.1786953923541362e-06,2.1786953923541362e-06
-0.09236569,2376,2377,108793.9,109249.45087358398,109249.45087358398,108338.34912641603,-42.077270768686624,0.0,-0.00418728323540174,2025-09-25 18:00:00,2025-09-25 18:15:00,0 days 00:15:00,,0.0011015847323994426,0.0011004153889533745,4.6814009689940405e-06,4.726658042637314e-06
0.08981757,2681,2681,111411.9,111607.84872642724,111215.75127357277,111607.84872642724,17.599638452290336,0.0,0.0017587773516765104,2025-09-28 22:15:00,2025-09-28 22:15:00,0 days 00:00:00,,0.0011084592863481978,0.0011084592863481978,2.1088096025387065e-06,2.1088096025387065e-06
0.08852277,2743,2744,113240.30000000002,113518.95235486733,112961.84764513267,113518.95235486733,24.667078319878406,0.0,0.0024607172081609896,2025-09-29 13:45:00,2025-09-29 14:00:00,0 days 00:15:00,,0.0011238373299926573,0.001125939279224556,2.8949861523395353e-06,3.1444157128867153e-06
0.08834297,2745,2746,113750.0,114064.44157128867,113435.55842871133,114064.44157128867,27.77870229910787,0.0,0.0027643215058343884,2025-09-29 14:15:00,2025-09-29 14:30:00,0 days 00:15:00,,0.0011276056978053936,0.0011295317442968716,3.1931717333948288e-06,3.3365880381523435e-06
