,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,2)","Exit_EMA(C,2)","Entry_ATR(H,L,C,10)","Exit_ATR(H,L,C,10)"
0,0.2317583,73,73,43148.4,43264.88442420666,43032.11557579334,43264.88442420666,26.996232130613432,0.0,0.002699623258490602,2024-01-01 18:15:00,2024-01-01 18:15:00,0 days 00:00:00,,0.00043077288685993407,0.00043077288685993407,1.2426598178599195e-06,1.2426598178599195e-06
1,0.22758007,94,95,44059.2,44233.81310858865,43884.58689141134,44233.81310858865,39.73846347552403,0.0,0.003963147505825271,2024-01-01 23:30:00,2024-01-01 23:45:00,0 days 00:15:00,,0.0004407051166543556,0.00044176970555145185,1.7595179772979099e-06,1.7595661795681201e-06
2,0.22498261,97,97,44744.5,44962.77095616113,44526.229043838866,44962.77095616113,49.10716940432609,0.0,0.004878162816907672,2024-01-02 00:15:00,2024-01-02 00:15:00,0 days 00:00:00,,0.0004463804117279391,0.0004463804117279391,2.3870386054501755e-06,2.3870386054501755e-06
3,-0.22601596000000002,237,237,44757.2,44571.44844980172,44942.951550198275,44571.44844980172,41.98281493955264,0.0,0.00415020488766682,2024-01-03 11:15:00,2024-01-03 11:15:00,0 days 00:00:00,,0.00044552544290410787,0.00044552544290410787,2.2547639517845314e-06,2.2547639517845314e-06
4,-0.23229088,240,240,43728.9,43417.864119905455,44039.93588009455,43417.864119905455,72.25079829873656,0.0,0.007112821957436566,2024-01-03 12:00:00,2024-01-03 12:00:00,0 days 00:00:00,,0.0004263145719594114,0.0004263145719594114,6.205122920850922e-06,6.205122920850922e-06
5,0.23175115000000002,698,698,44142.5,43936.09737021896,43936.09737021896,44348.90262978104,-47.83404681478069,0.0,-0.00467582555997148,2024-01-08 06:30:00,2024-01-08 06:30:00,0 days 00:00:00,,0.00043997078450831755,0.00043997078450831755,2.0994236680293705e-06,2.0994236680293705e-06
6,0.22552978,721,721,45148.1,44917.716107292705,44917.716107292705,45378.48389270729,-51.958428637819466,0.0,-0.005102848020343997,2024-01-08 12:15:00,2024-01-08 12:15:00,0 days 00:00:00,,0.00044647152446260674,0.00044647152446260674,2.903455034365629e-06,2.903455034365629e-06
7,0.21573944,747,770,46956.1,46573.77342666916,46573.77342666916,47346.62657333084,-82.48292082751374,0.0,-0.008142213116737462,2024-01-08 18:45:00,2024-01-09 00:30:00,0 days 05:45:00,,0.0004685180920652545,0.000467749012565057,3.8726391599775474e-06,2.7765794741703753e-06
8,0.20940507,853,853,47982.6,47680.4563224394,47680.4563224394,48287.143677560605,-63.27041794963365,0.0,-0.006296942590868215,2024-01-09 21:15:00,2024-01-09 21:15:00,0 days 00:00:00,,0.0004644939082796177,0.0004644939082796177,6.412893098045412e-06,6.412893098045412e-06
9,-0.2175767,854,900,45889.7,45328.3,46540.78930980454,45258.21069019546,122.1475593799995,0.0,0.01223368206808928,2024-01-09 21:30:00,2024-01-10 09:00:00,0 days 11:30:00,,0.0004613233027598726,0.00045461256218942844,6.556203788240871e-06,1.7029643728772146e-06
10,-0.22296616,900,900,45328.3,45494.76270809747,45494.76270809747,45161.63729190253,-37.11555080769322,0.0,-0.003672379244257229,2024-01-10 09:00:00,2024-01-10 09:00:00,0 days 00:00:00,,0.00045461256218942844,0.00045461256218942844,1.7029643728772146e-06,1.7029643728772146e-06
