open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,365.78,368.67,365.78,368.55,3081.703,1746058499999,1132543.95662,4610,1461.704,537270.75352,0
1746058500000,368.55,369.57,368.12,369.19,2646.242,1746059399999,976394.39033,4143,1454.002,536635.06789,0
1746059400000,369.15,369.41,368.66,369.08,1619.561,1746060299999,597737.10926,3098,799.365,295040.61910,0
1746060300000,369.08,369.80,368.77,368.93,1359.639,1746061199999,502076.99181,2604,646.379,238726.59191,0
1746061200000,368.94,371.02,368.93,370.07,2141.897,1746062099999,792834.35076,4522,1227.688,454371.77030,0
1746062100000,370.04,370.08,367.70,367.70,2545.135,1746062999999,939157.27906,4786,682.661,251894.43547,0
1746063000000,367.70,369.32,367.40,368.92,2253.563,1746063899999,830438.62512,3830,1493.871,550456.10730,0
1746063900000,368.92,369.36,368.54,369.28,717.586,1746064799999,264715.11589,2156,312.568,115305.60787,0
1746064800000,369.27,369.80,368.50,368.95,899.527,1746065699999,332086.04873,2621,445.847,164555.50087,0
1746065700000,368.98,369.97,368.98,369.70,848.340,1746066599999,313557.43249,2266,457.436,169087.11969,0
1746066600000,369.70,370.09,369.00,369.37,1055.215,1746067499999,390009.47735,2492,405.137,149735.14819,0
1746067500000,369.36,369.45,368.33,368.56,948.011,1746068399999,349583.22179,2237,363.268,133976.03692,0
1746068400000,368.57,369.89,368.48,368.78,1971.805,1746069299999,728335.24614,2861,454.825,167972.78423,0
1746069300000,368.78,368.95,368.10,368.39,1155.154,1746070199999,425658.33769,2129,413.840,152517.01672,0
1746070200000,368.37,368.80,367.10,367.61,1649.337,1746071099999,606707.51818,3000,651.681,239810.55117,0
1746071100000,367.61,367.66,366.72,367.38,1117.404,1746071999999,410271.07704,2196,535.571,196684.64946,0
1746072000000,367.39,367.85,366.92,367.04,1232.501,1746072899999,452844.43047,3007,633.481,232759.77933,0
1746072900000,367.03,367.68,366.93,367.01,560.842,1746073799999,206019.61657,1810,268.823,98753.29920,0
1746073800000,367.02,367.80,366.92,367.51,935.601,1746074699999,343689.11889,2158,565.595,207807.29043,0
1746074700000,367.48,367.80,367.00,367.79,503.932,1746075599999,185097.34642,1557,259.689,95388.50794,0
1746075600000,367.80,368.74,367.46,368.32,1556.480,1746076499999,572950.11906,2852,742.390,273315.10441,0
1746076500000,368.32,368.88,368.09,368.53,856.779,1746077399999,315746.30006,1739,418.315,154154.33426,0
1746077400000,368.52,369.14,368.04,368.37,2228.886,1746078299999,821640.42457,3613,997.960,367964.85423,0
1746078300000,368.38,368.77,365.91,366.36,7414.562,1746079199999,2723496.80558,8708,1998.525,734133.61738,0
