open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1751328000000,505.46,507.51,504.41,507.13,5507.257,1751328899999,2786704.73708,9541,2790.451,1412022.91701,0
1751328900000,507.13,507.54,505.47,506.00,4004.279,1751329799999,2028078.42261,7427,1471.255,745203.78452,0
1751329800000,506.00,507.72,504.60,506.52,6708.091,1751330699999,3396355.20064,11780,3802.424,1925392.07156,0
1751330700000,506.51,507.45,505.82,507.37,3629.847,1751331599999,1839453.01717,6591,1958.166,992121.48512,0
1751331600000,507.37,520.00,506.83,519.15,48119.565,1751332499999,24681521.79594,49266,28387.727,14562488.48069,0
1751332500000,519.15,524.56,517.04,519.18,42475.895,1751333399999,22092797.09934,54282,23354.349,12150136.40243,0
1751333400000,519.17,520.80,518.76,520.14,7721.758,1751334299999,4013894.40166,13113,3974.225,2065972.35933,0
1751334300000,520.14,521.89,520.13,520.76,11132.446,1751335199999,5801960.25094,14805,5727.835,2985426.56930,0
1751335200000,520.77,522.21,519.72,521.49,8431.009,1751336099999,4393186.70522,14030,4202.067,2189777.98268,0
1751336100000,521.50,522.06,520.03,521.54,7056.810,1751336999999,3677988.18263,11846,3100.436,1615882.27575,0
1751337000000,521.54,523.21,520.24,520.68,9924.150,1751337899999,5179157.23486,17099,4555.474,2377604.18911,0
1751337900000,520.68,521.31,519.80,521.00,8889.083,1751338799999,4627469.52608,12998,4656.438,2424061.16894,0
1751338800000,521.04,523.45,520.10,522.38,11615.663,1751339699999,6063268.89191,16551,6696.520,3495285.41312,0
1751339700000,522.38,525.00,522.24,524.38,8357.349,1751340599999,4377095.15597,12354,5120.098,2682826.33791,0
1751340600000,524.38,527.90,523.80,525.13,22015.622,1751341499999,11572035.10617,24447,13869.635,7290597.14904,0
1751341500000,525.14,525.14,521.72,523.95,10365.865,1751342399999,5425470.84215,15203,4975.569,2604270.23696,0
1751342400000,523.95,524.72,521.84,521.94,6870.246,1751343299999,3592958.90963,12516,2702.828,1413805.19107,0
1751343300000,521.95,526.64,520.92,523.91,16687.691,1751344199999,8747757.96131,22004,9570.017,5018092.23902,0
1751344200000,523.90,524.61,522.06,522.57,5331.796,1751345099999,2790198.71496,11284,2484.277,1300027.28031,0
1751345100000,522.58,523.50,521.30,521.66,6178.965,1751345999999,3226795.73631,11518,2770.544,1446984.17390,0
1751346000000,521.66,522.00,520.60,520.75,5041.970,1751346899999,2628424.11368,10050,2336.879,1218346.92919,0
1751346900000,520.76,521.68,520.24,521.41,6627.796,1751347799999,3453224.67596,10647,3648.394,1900979.62077,0
1751347800000,521.40,523.58,520.86,523.50,7271.080,1751348699999,3798658.00754,11906,4179.732,2183496.35161,0
1751348700000,523.49,523.85,522.09,523.26,5418.279,1751349599999,2833697.21939,9738,2292.748,1199247.65360,0
1751349600000,523.25,525.10,523.12,523.96,6883.467,1751350499999,3607411.10568,12694,3461.971,1814447.32586,0
1751350500000,523.96,524.52,522.83,523.14,4493.187,1751351399999,2352160.92104,8568,1741.333,911532.94723,0
1751351400000,523.13,523.48,522.33,523.42,3724.731,1751352299999,1947732.59857,6792,1497.217,782943.92437,0
1751352300000,523.42,524.63,520.88,524.13,10494.908,1751353199999,5487298.10058,12840,5079.664,2656298.85364,0
1751353200000,524.12,527.75,523.63,525.01,10361.041,1751354099999,5443480.76325,12923,5705.608,2998530.15246,0
1751354100000,525.00,525.33,521.79,525.32,9639.905,1751354999999,5043081.35279,13828,4959.217,2594777.77987,0
1751355000000,525.32,526.10,524.70,525.93,6936.599,1751355899999,3644989.45785,11555,3574.974,1878638.32790,0
1751355900000,525.93,526.83,525.51,526.79,4983.953,1751356799999,2622633.71000,8366,2105.179,1107806.24009,0
1751356800000,526.79,526.79,524.60,524.71,5733.105,1751357699999,3013279.03728,8844,2555.986,1343598.67968,0
1751357700000,524.71,526.09,524.06,524.60,4334.606,1751358599999,2275678.36179,7458,1748.200,917832.47717,0
1751358600000,524.64,525.50,523.60,523.68,9334.895,1751359499999,4897684.22933,11051,3786.617,1986541.60307,0
1751359500000,523.69,524.37,521.52,521.84,7965.709,1751360399999,4162147.30259,9571,2878.853,1504020.12788,0
1751360400000,521.84,522.75,520.89,521.84,6855.200,1751361299999,3576556.26005,9892,3310.879,1727579.36180,0
1751361300000,521.84,524.12,521.35,522.60,5253.580,1751362199999,2744849.70811,8953,2559.067,1337256.33201,0
1751362200000,522.59,522.60,520.70,521.04,5025.918,1751363099999,2620043.81658,8308,2139.962,1115581.50995,0
1751363100000,521.04,523.44,520.81,522.25,6453.210,1751363999999,3371370.68161,8369,3326.927,1738004.62381,0
1751364000000,522.25,524.10,521.31,522.11,7982.172,1751364899999,4171492.64672,10815,3609.676,1886590.63297,0
1751364900000,522.11,522.70,520.01,520.22,7104.875,1751365799999,3704623.62236,10188,2796.682,1458405.41742,0
1751365800000,520.21,520.92,518.17,518.99,10169.143,1751366699999,5284226.33078,13728,4320.786,2245641.29754,0
1751366700000,518.99,520.38,518.67,519.66,8353.235,1751367599999,4339731.47125,8811,5060.720,2629155.97353,0
1751367600000,519.64,520.73,518.51,518.67,5628.969,1751368499999,2924738.13568,7635,2321.913,1206910.33125,0
1751368500000,518.66,519.23,518.47,518.80,3155.408,1751369399999,1637043.70715,5583,1754.508,910282.67587,0
1751369400000,518.80,520.56,518.69,520.40,3499.326,1751370299999,1818695.13146,5486,2309.532,1200309.36447,0
1751370300000,520.40,521.97,519.84,521.46,6869.090,1751371199999,3577244.64885,8366,4186.234,2179967.46869,0
1751371200000,521.45,521.72,519.61,519.87,4764.011,1751372099999,2480149.06288,7742,2165.692,1127600.75825,0
1751372100000,519.86,519.98,517.12,517.59,8752.375,1751372999999,4535470.10234,11413,3541.841,1835578.04332,0
1751373000000,517.59,518.60,514.59,514.76,12582.150,1751373899999,6493599.57178,16189,5866.802,3028413.79604,0
1751373900000,514.76,517.14,514.05,516.72,7743.998,1751374799999,3994983.29754,10816,4390.478,2264859.97758,0
1751374800000,516.72,517.58,515.04,515.27,5805.563,1751375699999,2998863.99508,10725,3054.214,1577758.68468,0
1751375700000,515.27,517.13,515.00,516.21,4310.268,1751376599999,2223611.78080,8141,2138.532,1103409.52796,0
1751376600000,516.20,517.59,513.16,515.14,12344.063,1751377499999,6362394.87802,17021,6302.325,3248951.28974,0
1751377500000,515.14,518.00,514.85,516.45,9857.771,1751378399999,5092135.63131,13772,6062.979,3132138.11088,0
1751378400000,516.44,517.94,515.50,517.61,9773.171,1751379299999,5049218.40207,13661,5536.591,2860453.46228,0
1751379300000,517.61,518.06,514.47,515.28,7021.342,1751380199999,3625586.05383,10636,3603.582,1860791.96704,0
1751380200000,515.28,521.15,514.34,514.52,14742.196,1751381099999,7618228.19414,15568,9005.411,4657086.51687,0
1751381100000,514.51,515.06,512.82,514.47,9649.345,1751381999999,4960953.90317,13024,4377.088,2250765.58264,0
1751382000000,514.48,516.70,513.81,515.40,7669.897,1751382899999,3952765.92399,11887,4514.484,2326586.76661,0
1751382900000,515.39,518.23,514.28,517.68,10679.482,1751383799999,5521257.74110,11033,5799.268,2997283.95873,0
1751383800000,517.68,518.07,516.21,517.12,7274.247,1751384699999,3761796.69273,10090,3167.647,1638361.90956,0
1751384700000,517.11,518.42,516.64,518.21,4175.628,1751385599999,2161105.72145,5886,2662.814,1378294.69951,0
1751385600000,518.20,520.28,517.35,519.96,7311.718,1751386499999,3791898.04390,9173,4134.710,2144966.38752,0
1751386500000,519.96,520.40,518.38,518.52,4230.309,1751387399999,2196301.35855,6911,1969.508,1022480.78817,0
1751387400000,518.52,519.28,516.90,517.58,4159.606,1751388299999,2155427.55014,6523,2107.407,1092289.70076,0
1751388300000,517.60,518.20,517.09,517.70,2732.534,1751389199999,1414373.42285,5179,1717.123,888695.21372,0
1751389200000,517.70,519.21,517.14,518.75,2726.812,1751390099999,1413128.66104,5574,1838.613,953001.12711,0
1751390100000,518.75,518.93,517.93,518.09,2035.607,1751390999999,1055189.20716,5395,1155.326,598865.11602,0
1751391000000,518.10,519.72,517.88,519.60,1964.054,1751391899999,1018891.47735,4217,1228.395,637247.59601,0
1751391900000,519.60,519.98,518.93,519.36,2397.655,1751392799999,1245368.00397,4193,1157.210,601028.77265,0
1751392800000,519.39,519.92,518.92,519.48,2188.354,1751393699999,1136722.01102,4232,1256.878,652894.01019,0
1751393700000,519.48,519.75,517.32,517.36,3793.706,1751394599999,1966180.89860,5037,1981.780,1026881.89867,0
1751394600000,517.35,518.29,516.47,518.08,5516.514,1751395499999,2853786.72802,6640,2296.106,1188019.80090,0
1751395500000,518.07,518.44,515.58,516.36,5661.221,1751396399999,2928759.61781,6082,2184.700,1130036.53088,0
1751396400000,516.36,517.15,515.70,516.43,3983.579,1751397299999,2056722.54073,6692,2201.912,1136820.73152,0
