ema_period,atr_period,multiplier,0
49,49,1.0,54.45833333333333
50,37,1.7696517254691808,52.09597352454496
50,49,1.0,54.45960125918153
51,49,1.0,54.06315789473685
52,49,1.0,54.30379746835443
53,33,1.0,53.890608875129
53,49,1.0,54.52814219212865
54,28,3.6225376027536758,50.96296296296296
55,23,2.0243307532121793,50.444839857651246
55,28,8.14798347062793,-0.0
55,31,7.8611561186196175,-0.0
55,49,1.0,54.387096774193544
56,25,3.5212788089708025,51.97588747488279
56,27,6.88827600788848,49.6
56,37,1.7011489478437252,53.473911868072456
56,43,3.4508014914839618,52.28758169934641
56,49,1.0,54.13763066202091
57,28,4.018672090196752,50.91911764705882
57,47,1.4115770905191902,53.70094386487829
57,49,1.0,53.80743982494529
58,49,1.0,53.64035087719298
59,49,1.0,53.786536758193094
59,49,3.579551760788435,51.2576478585996
61,49,1.0,53.56502242152467
62,46,5.43113398452015,48.97610921501707
62,49,1.0,53.72593431483579
63,49,1.0,53.770566727605114
64,11,4.569528980688431,50.993377483443716
64,49,1.0,53.62318840579711
65,27,1.0966935023984339,52.689655172413794
65,48,1.869817289743168,52.509652509652504
65,49,1.0,53.772927791966566
66,26,5.378888962119889,52.05724508050089
66,41,2.276874664477873,50.76713262870781
67,49,1.0,53.65339578454332
69,49,1.0,53.55360114095555
70,43,2.3540776414526285,51.48725212464589
71,19,2.998797667686536,52.086137281292054
72,20,8.117058296500929,-0.0
72,34,1.252986873886739,52.51816587321473
72,41,4.838641625093424,49.66367713004484
72,45,8.645203745694003,31.46067415730337
73,36,1.0605596159719695,52.65583313121513
74,46,2.8615287279271033,51.44458818456231
75,43,2.60637952988241,51.29493621955934
77,21,8.296300846757209,-0.0
79,39,3.008422554478131,52.07394048692516
79,42,2.9655406888369855,51.705804164820556
80,42,1.6447310675143116,54.470151385318474
81,34,3.021245141472704,51.724137931034484
81,41,2.0926113556023376,52.950819672131146
82,42,3.3608890107355625,51.711618257261414
82,43,2.5141854850843113,51.8450184501845
82,43,3.0128827164527268,51.398916967509024
84,46,9.09140434120784,-0.0
84,47,2.7178785844924036,51.72137710168134
85,42,3.083736011264652,51.20147874306839
85,44,2.068872194240159,52.85950413223141
86,18,2.82089487397248,50.76394194041253
86,28,8.590637806161682,-0.0
86,46,1.6854959412466144,53.95047169811321
87,40,1.9194563149416788,53.94942241648455
87,48,7.217301678453569,50.32258064516129
88,33,9.40496301125904,-0.0
88,44,2.4389572278584,51.959361393323654
89,40,4.190724338221896,51.89591078066914
89,42,1.0684277318227613,52.503382949932345
90,43,2.3307705633344264,51.271334029954716
90,44,3.7077555436725897,50.625372245384156
91,40,2.2199554671123174,51.8796992481203
91,43,1.0181940316731732,53.248511099079586
91,48,7.699136599736086,51.5625
93,41,2.863146598636345,52.97520661157024
97,40,3.8172663808487863,50.11976047904192
99,37,2.6597496509531906,51.858949789191264
102,30,6.1948208255076205,47.93103448275862
102,49,1.0,52.8448275862069
103,40,4.20578888251604,49.59239130434783
104,47,3.2589292176175158,52.695733708391934
106,49,3.1684590233956356,52.6813880126183
108,29,4.316063638693938,50.2724795640327
112,28,9.055129125574947,-0.0
114,36,3.4284464315527217,50.74411905904945
116,36,5.920626274918051,51.77045177045178
117,35,4.5165609873116255,49.502840909090914
119,17,9.257285914641361,-0.0
122,11,1.6570109008355236,51.112544340535315
123,41,5.834419460885325,52.09713024282561
123,45,6.62063678998776,48.87218045112782
125,40,9.900000000000007,27.058823529411764
129,14,1.1572742776441836,50.42279987472597
132,13,4.559604132911992,47.80952380952381
133,34,5.1717929701138905,49.69853574504737
137,49,7.012455039480618,47.82608695652174
138,34,6.769258705711044,50.986342943854325
139,34,6.2274881557884,50.66828675577156
141,32,6.104540163533578,50.056497175141246
143,24,6.215905044808052,50.29726516052319
143,31,2.674376749103071,51.36655948553055
146,10,6.249205505432417,48.402948402948404
