ema_period,atr_period,multiplier,0
2,10,1.0,-0.0
2,15,1.0,52.51798561151079
2,16,1.59643535175832,-0.0
2,18,1.0,47.878787878787875
2,20,1.0,48.0225988700565
2,21,1.0,48.369565217391305
2,26,1.0,49.056603773584904
2,28,1.0,48.41628959276018
2,28,1.6253612947153468,-0.0
2,28,1.708247363684822,-0.0
2,29,1.0,48.03493449781659
2,30,1.0,48.706896551724135
2,33,1.0,47.73662551440329
2,33,1.6052727875181159,-0.0
2,34,1.0,47.368421052631575
2,35,1.0,47.22222222222222
2,36,1.0,46.82539682539682
2,37,1.0,47.47081712062256
2,37,1.708247363684822,-0.0
2,38,1.0,47.52851711026616
2,39,1.0,48.49624060150376
2,40,1.0,48.88059701492538
2,41,1.0,49.07749077490775
2,42,1.0,48.91304347826087
2,43,1.0,48.92857142857142
2,43,1.3706317525154579,33.72093023255814
2,46,1.0,48.59154929577465
2,47,1.0,48.421052631578945
2,50,1.0,48.63013698630137
2,51,1.0,47.97297297297297
2,52,1.0,48.13559322033898
2,53,1.0,47.81144781144781
2,53,1.4007477305677678,32.55813953488372
2,54,1.0,48.322147651006716
2,56,1.0,48.51485148514851
2,57,1.0,48.84488448844885
2,58,1.0069617395966397,47.82608695652174
2,59,1.0,48.19672131147541
2,61,1.0,48.20846905537459
2,62,1.0,47.58842443729904
2,63,1.0,47.3015873015873
2,64,1.0,47.3015873015873
2,65,1.0,47.93650793650794
2,66,1.0,47.96238244514107
2,67,1.0,48.125
2,71,1.0,47.20496894409938
2,72,1.0,47.05882352941176
2,73,1.0,46.749226006191954
2,74,1.0,46.273291925465834
2,75,1.0,45.962732919254655
2,76,1.0,44.89164086687307
2,77,1.0,44.5141065830721
2,79,1.0,43.7888198757764
2,80,1.0,43.613707165109034
2,81,1.0,43.47826086956522
2,82,1.0,43.962848297213625
2,84,1.0,43.86503067484663
2,85,1.0,43.69230769230769
2,86,1.0,43.69230769230769
2,94,1.0,44.41087613293052
2,96,1.0,44.64831804281346
2,98,1.0,44.81707317073171
2,99,1.0,45.0920245398773
3,57,2.1424550621731844,34.69387755102041
3,65,1.0,51.028806584362144
5,23,1.010091667286235,49.798755945847056
