ema_period,atr_period,multiplier,Win Rate [%]
10,19,4.819996751846833,21.428571428571427
11,15,15.547773280733054,-0.0
11,18,12.656309195280134,-0.0
12,12,16.66018524773334,-0.0
12,21,10.194552547136485,-0.0
14,23,13.56696356305682,-0.0
15,21,13.64227739122432,-0.0
15,24,4.062779172343545,45.95959595959596
17,13,11.766117436615996,-0.0
23,22,9.649900144388628,-0.0
26,20,19.782132754377336,-0.0
28,12,15.624213362140301,-0.0
29,14,9.990182189503585,-0.0
29,16,17.76626835410563,-0.0
30,20,16.64282186682637,-0.0
31,22,6.1271477663583624,46.666666666666664
33,14,18.917016443480218,-0.0
33,18,3.4469692426462037,51.162790697674424
39,21,5.127100714934069,43.75
42,21,6.597402233901943,42.3728813559322
46,20,14.839924469566007,-0.0
51,12,17.61637227463348,-0.0
52,19,12.001090231718774,-0.0
53,19,13.11686996533165,-0.0
55,25,4.506463151848829,49.10025706940874
56,11,6.5498576812315115,47.05882352941176
56,15,7.80992130610874,50.0
56,16,8.925531582199277,-0.0
57,22,9.391037689922479,0.0
59,16,3.847314399802275,52.09339774557166
59,21,15.783815647461713,-0.0
60,21,5.821621002818212,49.48453608247423
62,12,4.936225341154122,51.17647058823529
62,19,14.257592270561341,-0.0
62,21,5.519521493389218,49.22680412371135
67,15,6.2570630468971675,53.333333333333336
69,21,5.873965286645792,50.70422535211267
71,24,18.974418253299415,-0.0
73,12,14.435830179846615,-0.0
73,16,17.932185449616345,-0.0
77,23,8.790492156331826,35.294117647058826
79,12,17.50359922906468,-0.0
79,21,10.298740494599313,-0.0
82,11,1.0,50.64871481028151
84,16,13.029767398670192,-0.0
84,19,13.226882434804796,-0.0
84,19,13.60113778695871,-0.0
84,22,15.087313837119511,-0.0
85,22,9.938760041057158,33.33333333333333
86,17,16.588028879922298,-0.0
86,17,17.80074957990126,-0.0
86,22,4.452580991141976,50.33840947546532
87,19,4.911778142668605,50.25799793601651
88,10,16.81074567853439,-0.0
88,15,8.728264124702676,40.0
89,15,15.724304945221064,-0.0
89,18,9.48896801903896,66.66666666666666
90,12,6.370903182004038,49.66216216216216
91,17,19.731129801231155,-0.0
92,16,9.988956235064359,100.0
93,18,7.7424061039224705,40.27777777777778
96,16,9.250870397324274,40.0
96,16,16.964187624469016,-0.0
96,18,10.022479769092628,66.66666666666666
96,24,11.001594783472953,0.0
99,14,7.182551300367766,44.72049689440994
99,22,17.239057247915184,-0.0
100,16,14.104525563214821,-0.0
100,18,10.49435495107743,100.0
100,21,14.16583086321845,-0.0
101,13,2.3203457703126875,49.98353638459005
101,16,10.218973899172408,100.0
103,16,12.671491066519014,-0.0
103,17,10.107695345468382,100.0
103,19,13.923886588775348,-0.0
103,19,14.806921240704757,-0.0
103,19,15.516160386625378,-0.0
103,19,16.622366588589838,-0.0
104,15,12.567305478773173,-0.0
104,15,13.118809146590998,-0.0
104,16,11.652083928885876,-0.0
104,16,12.70570104008955,-0.0
104,16,12.730838123290214,-0.0
104,16,12.737613796020643,-0.0
