ema_period,atr_period,multiplier,Win Rate [%]
92,14,10.480538758642496,100.0
92,14,10.57356852108282,100.0
92,14,10.627641906700628,100.0
92,14,10.67718833107353,-0.0
92,14,10.690000000000005,-0.0
92,15,10.462809433712223,100.0
92,15,10.539163563172483,100.0
92,15,10.625498701758119,-0.0
92,15,10.63209507752834,-0.0
92,15,10.651019084885,-0.0
92,15,10.675243317343764,-0.0
92,15,10.690000000000005,-0.0
92,16,10.50743509501217,100.0
92,16,10.5332668921362,100.0
92,16,10.604135738617614,-0.0
92,16,10.634378056866186,-0.0
92,16,10.636459772697396,-0.0
92,16,10.649409912239374,-0.0
92,16,10.653548219377797,-0.0
92,16,10.66046275035643,-0.0
92,16,10.681219999143472,-0.0
92,16,10.690000000000005,-0.0
92,17,10.556427448284978,-0.0
92,17,10.592706718884983,-0.0
92,17,10.59519678376434,-0.0
92,17,10.627323945855565,-0.0
92,17,10.634529773768975,-0.0
92,17,10.63693278249832,-0.0
92,17,10.653807080717783,-0.0
92,17,10.688343152057033,-0.0
92,17,10.690000000000005,-0.0
93,12,10.684445900631129,100.0
93,14,10.623859995584011,100.0
93,15,10.458212361564222,100.0
93,15,10.544398760536733,100.0
93,17,10.689556819434408,-0.0
95,14,10.510727769107632,100.0
95,15,10.554570099257859,100.0
95,16,10.67879055760018,100.0
96,13,10.654469164607292,100.0
96,14,10.543114717942245,100.0
96,15,10.609290587531277,100.0
96,16,10.690000000000005,100.0
96,17,10.551001132457781,100.0
97,14,10.517451747016402,100.0
97,15,10.545379862150913,100.0
97,15,10.690000000000005,100.0
97,16,10.532684236683487,100.0
98,14,10.643330256684216,100.0
98,15,10.589363929860127,100.0
98,16,10.640887627076197,100.0
98,16,10.690000000000005,100.0
98,17,10.492748008445297,100.0
98,17,10.520833261006906,100.0
98,17,10.690000000000005,100.0
99,14,10.679680430560548,100.0
99,15,10.383876147788213,100.0
100,17,10.671891688500196,100.0
100,17,10.690000000000005,100.0
101,13,10.58309442033329,100.0
101,13,10.66884978083493,100.0
101,15,10.450498210533949,100.0
101,15,10.528061899605927,100.0
102,15,10.544964609473208,100.0
103,14,10.597213339577038,100.0
103,14,10.639368854676974,100.0
103,15,10.55780599788152,100.0
103,15,10.616647257104773,100.0
103,16,10.54887543905021,100.0
104,14,10.563580053677503,100.0
104,15,10.569881602067575,100.0
104,15,10.627378160267437,100.0
105,13,10.425198475495545,100.0
105,15,10.541474552881496,100.0
105,15,10.565938800636431,100.0
105,15,10.622922597098206,100.0
105,15,10.63746266664874,100.0
105,16,10.58378906515641,100.0
105,16,10.621945545254999,100.0
105,16,10.641590494424523,100.0
105,17,10.473871575326196,100.0
106,14,10.690000000000005,100.0
106,15,10.598828262557838,100.0
106,16,10.668400971748904,100.0
107,13,10.619237381577342,48.64864864864865
107,14,10.668612378517345,100.0
107,15,10.583576338213803,100.0
107,16,10.524910651443971,100.0
107,16,10.6011167515231,100.0
107,16,10.6032108304688,100.0
107,16,10.614878734687235,100.0
107,16,10.634995324487711,100.0
107,16,10.656815027151541,100.0
107,17,10.598758083108585,100.0
108,15,10.535669884622738,100.0
108,15,10.58218031557712,100.0
108,15,10.690000000000005,100.0
108,16,10.530058563131693,100.0
108,16,10.577914230529657,100.0
108,16,10.60727936595725,100.0
108,16,10.641502001737464,100.0
108,16,10.656815027151541,100.0
108,16,10.65696754929418,100.0
108,17,10.542020748630101,100.0
109,14,10.655263386856053,100.0
109,15,10.63303544583146,100.0
109,15,10.690000000000005,100.0
109,16,10.495860075374937,33.33333333333333
109,16,10.592432025060667,100.0
109,16,10.603603271114473,100.0
109,16,10.621196898198157,100.0
109,16,10.66145132625411,100.0
109,16,10.672202552715511,100.0
109,17,10.59378463065687,100.0
109,17,10.598525020927504,100.0
110,15,10.5575187451036,50.0
110,15,10.628395533314961,50.0
110,15,10.641590494424523,100.0
110,16,10.539001785369393,33.33333333333333
110,16,10.64373100913878,100.0
110,16,10.690000000000005,100.0
110,17,10.654208001654187,100.0
110,17,10.66145132625411,100.0
110,17,10.690000000000005,100.0
111,12,10.644418237064915,66.66666666666666
111,14,10.549603938564687,66.66666666666666
111,14,10.690000000000005,100.0
111,15,10.430014716188797,100.0
111,15,10.656815027151541,50.0
111,16,10.565650610467685,50.0
111,16,10.652794143627588,50.0
112,16,10.610883347725107,50.0
112,16,10.624336662084922,50.0
112,17,10.574999956384584,66.66666666666666
113,12,10.572186401676381,50.0
113,15,10.456141722926418,75.0
113,15,10.563271716322106,100.0
113,15,10.656815027151541,100.0
113,15,10.690000000000005,66.66666666666666
113,16,10.640938963865409,50.0
113,16,10.66145132625411,50.0
113,17,10.610435115177342,66.66666666666666
114,15,10.58580878235205,100.0
114,16,10.557457212729624,100.0
114,16,10.647556680996527,100.0
114,17,10.642052126949093,66.66666666666666
114,17,10.647087235185817,66.66666666666666
114,17,10.66145132625411,66.66666666666666
115,14,10.604061280087194,66.66666666666666
115,15,10.524910651443971,75.0
115,15,10.628545253917618,66.66666666666666
115,15,10.635521651670086,100.0
115,16,10.4595537835183,75.0
115,16,10.533166306995536,100.0
115,16,10.562246446096601,100.0
115,16,10.614080753477083,100.0
116,12,10.472614522253487,100.0
116,13,10.446632172125783,52.0
116,15,10.564200549783017,75.0
116,15,10.636766561296364,66.66666666666666
116,16,10.530115498668547,75.0
116,17,10.63108362764494,100.0
117,14,10.504765222839403,75.0
117,15,10.574497135155504,75.0
117,17,10.55333531975814,100.0
117,17,10.642418877090178,50.0
118,14,10.582007787045676,66.66666666666666
118,14,10.590383847218725,66.66666666666666
118,15,10.514221563479301,75.0
118,15,10.632081587976163,75.0
118,16,10.58580878235205,75.0
118,16,10.668328436157871,75.0
118,17,10.690000000000005,100.0
119,14,10.482054826642152,80.0
119,15,10.564253462897188,75.0
119,15,10.690000000000005,75.0
119,17,10.496537776104283,75.0
119,17,10.529353930939074,75.0
119,17,10.665089375980653,100.0
120,14,10.616646741387434,80.0
120,14,10.652583317523227,75.0
120,15,10.52888809528191,80.0
120,15,10.545028780459726,75.0
120,15,10.60943340197981,75.0
120,15,10.66673750700306,75.0
120,16,10.439227180513011,80.0
120,16,10.574797126083475,75.0
120,17,10.541975493449698,75.0
120,17,10.586495504793385,75.0
120,17,10.690000000000005,75.0
121,14,10.680283018450611,75.0
121,15,10.581127011090782,80.0
121,15,10.654781901762433,75.0
121,16,10.386458162563256,83.33333333333334
121,16,10.576423901084162,75.0
121,17,10.484190025138872,60.0
122,13,10.657386898732742,100.0
122,15,10.663439319117948,80.0
122,16,10.537519519116895,80.0
122,17,10.690000000000005,75.0
123,15,10.586856791713416,80.0
123,16,10.603806461645373,75.0
123,17,10.604353978762315,75.0
123,17,10.632143269277478,75.0
124,15,10.522545720759396,83.33333333333334
124,17,10.604353978762315,66.66666666666666
124,17,10.643152377372349,75.0
125,13,10.58580878235205,37.5
125,13,10.690000000000005,75.0
125,14,10.617926233276549,80.0
125,15,10.555157801679304,80.0
125,16,10.589749293564484,60.0
126,14,10.58580878235205,83.33333333333334
126,15,10.522708852543197,100.0
126,15,10.542309320928254,100.0
126,15,10.563832567032403,100.0
126,16,10.665639863634052,75.0
127,14,10.595975574723589,83.33333333333334
127,15,10.37713395715448,44.44444444444444
127,15,10.587082564573889,100.0
127,16,10.690000000000005,60.0
127,17,10.690000000000005,50.0
128,12,10.347936821037203,64.70588235294117
