ema_period,atr_period,multiplier,0
5,10,0.5,527100.0
5,13,0.5,513300.0
6,16,19.428989254815935,-0.0
9,11,12.44621949986944,-0.0
10,14,9.918844602209953,-0.0
12,14,6.567489482135224,-0.0
13,18,2.5902212765191077,36200.0
14,17,7.024371091803153,-0.0
18,10,3.3953381022647333,12500.0
19,14,2.3512752823376495,74000.0
24,18,2.905021813012313,54699.99999999999
24,18,16.734066154474768,-0.0
24,19,0.7366287090577058,376000.0
31,10,0.5,361099.99999999994
35,11,1.70510733292059,212100.00000000003
35,15,4.671701964845528,12100.0
35,17,10.87601589517158,-0.0
36,10,0.5,341200.0
37,10,17.76742678524041,-0.0
38,11,15.79008860386756,-0.0
41,10,19.028558574412806,-0.0
41,18,7.603105998976099,100.0
42,14,8.853876760692996,-0.0
43,19,13.463263604593365,-0.0
44,18,2.6285948523274048,120500.00000000001
50,14,12.039033319958074,-0.0
51,17,2.2145793197881467,160499.99999999997
51,17,11.48087176758894,-0.0
57,17,5.886949896839885,8800.0
63,14,1.2469221107939874,231600.0
66,11,1.2291861877586254,223400.0
67,18,15.153455176837046,-0.0
71,12,19.40252668791555,-0.0
86,13,10.382978347418529,-0.0
88,12,0.5,208300.0
88,14,15.937576629651302,-0.0
88,16,1.2110280278556975,188500.0
89,10,1.7835501325327314,183900.00000000003
89,18,2.4983318465048394,149000.0
90,16,13.446199143039303,-0.0
97,18,7.293249754352779,7800.0
98,13,6.6925657043343865,12900.0
101,16,4.826693792315438,57400.00000000001
101,17,1.244218740228437,180800.0
102,11,4.300455517646471,69300.0
104,14,2.5378558526721156,141200.0
116,12,5.021531051269465,55000.0
116,13,0.5,179700.0
119,12,0.5,178400.00000000003
123,11,13.595200863055126,-0.0
123,14,2.2960550381799645,145400.0
129,17,8.592368885971355,4900.0
132,11,3.010668780740978,118500.00000000001
134,11,0.5,165700.0
137,15,8.289882023814569,7200.0
142,17,9.199532699482088,3599.9999999999995
143,18,0.8970459690182173,153600.0
145,15,1.953149905237475,145100.0
148,16,14.855534787912307,-0.0
148,19,14.49110285778876,-0.0
149,13,8.240808866419997,9300.0
156,11,5.724339393795741,53800.0
156,15,19.352193104554235,-0.0
163,13,6.125643938387571,47600.0
163,13,11.954129398315578,900.0
163,19,15.365072120976063,-0.0
167,16,19.119672606195152,-0.0
174,11,11.908888117527995,1400.0
174,16,3.6938979342093488,104500.0
174,16,4.280872598402631,91700.0
180,17,13.040996802342034,300.0
184,11,3.3214611296050407,108800.0
186,15,5.866150492122464,56199.99999999999
188,17,17.683653003748105,-0.0
190,14,2.83697707364742,113700.0
191,14,8.885154518876945,14400.000000000002
194,16,2.159591165350395,120999.99999999999
195,19,11.598765174061455,1900.0
198,13,13.38015265945562,1200.0
204,11,0.5,122600.0
204,15,0.5,123499.99999999999
